brand,screen_size,ram,rom,mp,battery,price
Oppo,6.52,4,64,13,4230,740000
Itel,5.0,2,32,5,3020,275000
Redmi,6.53,6,28,13,5000,745000
Samsung,6.1,8,28,50,3700,2930000
Vivo,6.55,4,64,50,5000,680000
Tecno,6.1,2,32,5,5000,451800
Samsung,6.1,8,28,50,3700,2930000
Redmi,6.53,4,28,13,5000,660000
Infinix,6.7,6,28,50,5000,765000
Samsung,6.6,8,28,50,6000,1155000
Tecno,6.5,2,32,13,5000,420000
Infinix,6.6,4,64,13,5200,510000
Samsung,6.6,8,56,50,4500,3880000
Samsung,7.6,2,56,50,4400,5500000
Oppo,6.59,8,28,50,5000,1200000
Redmi,6.6,8,28,50,5000,1050000
Redmi,6.53,6,28,13,5000,745000
Oppo,6.43,8,28,64,4300,1550000
Samsung,6.7,8,56,12,3700,3900000
Samsung,6.5,6,28,48,5000,1430000
Samsung,6.6,8,28,50,4500,3690000
Samsung,7.6,8,56,50,4400,6290000
Samsung,6.7,8,28,12,3700,3600000
Oppo,6.59,8,28,50,5000,1200000
Samsung,6.7,8,28,12,3300,2810000
Vivo,6.51,4,64,13,5000,680000
Tecno,6.6,4,64,13,5000,568000
Samsung,6.7,8,28,12,3700,3600000
Vivo,6.51,3,32,13,5000,540000
Oppo,6.43,8,28,64,4300,1850000
Samsung,6.1,8,56,50,3700,3030000
Samsung,6.6,6,28,48,5000,890000
Samsung,6.6,8,28,50,4500,3690000
Redmi,6.5,4,28,50,5000,840000
Samsung,6.1,8,56,50,3700,3030000
Redmi,6.5,6,28,50,5000,890000
