,Area,Location,No. of Bedrooms,New/Resale,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Clubhouse,Gas Connection,Price_in_Lakhs
2589,956,Mira Road East,2,0,1,1,1,0,1,0,76.0
2590,956,Mira Road East,2,0,1,1,1,0,1,0,74.5
2591,890,Mira Road East,2,0,1,1,1,0,1,0,71.0
2592,1050,Mira Road East,2,0,1,0,0,0,0,0,100.0
2593,1290,Mira Road East,2,1,1,1,0,1,1,1,150.0
2594,1150,Mira Road East,2,0,1,1,0,0,0,0,100.0
2595,650,Mira Road East,1,0,1,0,0,0,1,0,65.0
2596,850,Mira Road East,2,0,1,1,0,1,1,0,56.0
2597,675,Mira Road East,1,0,1,0,0,0,1,0,67.0
2598,665,Mira Road East,1,0,1,1,0,1,1,0,68.0
2599,580,Mira Road East,1,0,1,0,0,0,0,0,49.0
2600,1250,Mira Road East,3,0,1,1,0,1,1,0,98.0
2601,693,Mira Road East,1,1,1,0,0,0,0,0,68.0
2602,972,Mira Road East,2,1,1,0,0,0,0,0,89.0
2603,1389,Mira Road East,3,1,1,0,0,0,0,0,112.99999
2604,981,Mira Road East,2,1,1,0,0,0,0,0,92.0
2605,1098,Mira Road East,2,1,1,0,0,0,0,0,97.0
2606,1137,Mira Road East,2,1,1,1,0,1,0,0,77.31
2607,1500,Mira Road East,2,0,1,1,0,1,0,0,125.0
2608,600,Mira Road East,1,0,0,1,0,0,0,0,45.0
2609,1050,Mira Road East,2,0,1,1,0,0,0,0,81.98999
2610,950,Mira Road East,2,0,1,0,0,0,0,0,85.0
2611,1050,Mira Road East,2,0,1,0,0,0,1,0,81.98999
2612,650,Mira Road East,1,0,1,0,0,0,0,0,54.99
2613,695,Mira Road East,1,0,1,0,0,0,0,0,62.0
2614,650,Mira Road East,1,0,1,1,0,1,1,0,60.0
2615,720,Mira Road East,1,0,1,0,0,0,0,1,59.99
2616,1365,Mira Road East,3,0,1,1,0,1,1,0,124.0
2617,1050,Mira Road East,2,0,1,1,0,1,1,0,65.0
2618,1098,Mira Road East,2,0,1,0,0,0,1,0,95.99
2619,700,Mira Road East,1,0,0,0,0,0,0,0,61.0
2620,1060,Mira Road East,2,1,1,1,0,1,1,0,87.0
2621,1010,Mira Road East,2,0,1,1,1,1,1,0,74.98999
2622,850,Mira Road East,1,0,1,0,0,0,0,0,59.99
2623,1600,Mira Road East,2,0,1,1,0,1,1,0,150.0
2624,700,Mira Road East,1,0,1,0,0,0,1,0,48.5
2625,575,Mira Road East,2,1,1,1,1,1,1,0,78.15
2626,700,Mira Road East,2,1,1,1,1,1,1,0,80.53
2627,698,Mira Road East,2,1,1,1,1,1,1,0,80.3
2628,538,Mira Road East,2,1,1,0,0,0,0,0,75.0
2629,739,Mira Road East,3,1,1,0,0,0,0,0,101.0
2630,381,Mira Road East,1,1,0,0,0,0,0,0,53.0
2631,424,Mira Road East,1,1,1,0,0,0,0,0,59.0
2632,629,Mira Road East,2,1,0,0,0,0,0,0,77.45999
2633,621,Mira Road East,2,1,0,0,0,0,0,0,76.5
2634,547,Mira Road East,2,1,0,0,0,0,0,0,67.38
2635,769,Mira Road East,1,1,1,1,0,1,0,0,52.29
2636,650,Mira Road East,1,1,1,0,0,1,0,1,49.5
2637,650,Mira Road East,1,0,1,0,0,0,0,1,45.0
2638,950,Mira Road East,2,0,0,1,0,0,0,0,77.0
2639,786,Mira Road East,3,1,1,1,0,1,1,0,99.0
2640,693,Mira Road East,1,1,1,1,0,1,1,0,95.5
2641,981,Mira Road East,2,1,1,1,0,1,1,0,99.9
2642,1386,Mira Road East,3,1,1,1,0,1,1,0,115.0
2643,650,Mira Road East,1,0,1,0,0,0,0,0,52.5
2644,875,Mira Road East,2,1,1,1,0,1,0,0,75.0
2645,975,Mira Road East,2,0,1,1,0,1,0,0,75.0
2646,705,Mira Road East,1,0,1,1,0,0,0,0,55.0
2647,1060,Mira Road East,2,0,1,0,0,0,1,0,85.0
2648,750,Mira Road East,1,0,1,0,0,0,1,0,60.5
2649,1102,Mira Road East,3,0,1,0,0,0,0,0,100.0
2650,1020,Mira Road East,2,0,1,0,0,0,0,0,80.0
2651,1060,Mira Road East,2,0,1,0,0,0,0,0,75.0
2652,685,Mira Road East,1,1,1,0,0,0,0,0,51.5
2653,1050,Mira Road East,2,1,1,0,0,0,0,0,76.0
2654,1390,Mira Road East,3,0,1,1,0,1,1,0,110.0
2655,1390,Mira Road East,3,0,1,1,0,1,1,0,125.0
2656,520,Mira Road East,2,0,0,0,0,0,0,0,53.0
2657,615,Mira Road East,1,0,1,0,0,0,0,1,53.0
2658,925,Mira Road East,2,0,0,0,0,0,0,0,79.0
2659,705,Mira Road East,1,1,1,1,0,1,1,0,55.83
2660,1525,Mira Road East,3,1,1,1,1,1,1,0,132.0
2661,1060,Mira Road East,2,1,1,0,0,0,1,1,93.0
2662,565,Mira Road East,1,0,0,0,0,0,0,0,45.0
2663,990,Mira Road East,2,1,0,0,0,0,0,0,80.0
2664,1341,Mira Road East,3,1,1,0,0,0,1,1,110.0
2665,990,Mira Road East,2,1,1,0,0,0,1,1,80.0
2666,960,Mira Road East,2,1,1,1,0,0,1,1,76.0
2667,1160,Mira Road East,2,1,1,0,0,0,1,1,92.0
2668,1060,Mira Road East,2,1,1,1,0,1,1,0,93.0
2669,540,Mira Road East,1,0,1,0,0,0,0,1,58.0
2670,490,Mira Road East,1,0,0,0,0,0,0,1,44.0
2671,530,Mira Road East,1,0,0,0,0,0,0,1,41.0
2672,540,Mira Road East,1,0,1,0,0,0,0,1,56.0
2673,1073,Mira Road East,2,1,1,0,0,0,1,1,88.0
2674,650,Mira Road East,1,0,1,0,0,0,1,0,57.0
2675,900,Mira Road East,2,1,1,0,0,0,1,0,70.0
2676,1180,Mira Road East,2,1,1,1,0,1,1,1,108.0
2677,1412,Mira Road East,2,1,1,0,0,0,1,1,90.0
2678,1525,Mira Road East,2,1,1,1,1,1,1,1,132.0
2679,1400,Mira Road East,3,1,1,0,0,0,1,1,131.0
2680,565,Mira Road East,1,0,1,0,0,0,0,1,45.0
2681,450,Mira Road East,1,0,0,0,0,0,0,1,44.0
2682,1060,Mira Road East,2,1,1,1,0,1,1,1,93.0
2683,550,Mira Road East,1,0,0,1,0,0,0,0,48.0
2684,550,Mira Road East,1,0,1,1,0,0,0,1,48.0
2685,1050,Mira Road East,2,1,1,0,0,0,1,1,68.0
2686,1250,Mira Road East,3,1,1,0,0,0,0,1,90.0
2687,700,Mira Road East,1,1,1,0,0,0,1,1,66.0
2688,950,Mira Road East,2,1,1,0,0,0,0,1,77.0
2689,990,Mira Road East,2,0,1,1,0,1,0,1,88.0
2690,375,Mira Road East,1,0,1,0,0,0,0,0,31.0
2691,1137,Mira Road East,2,1,1,1,0,1,0,0,92.0
2692,585,Mira Road East,1,0,0,0,0,0,0,1,41.0
2693,972,Mira Road East,2,1,1,0,0,0,1,0,80.0
2694,1944,Mira Road East,4,1,1,0,0,0,1,0,160.0
2695,725,Mira Road East,1,1,1,1,0,1,1,0,57.42
2696,1055,Mira Road East,2,1,1,1,0,1,1,0,83.55
2697,890,Mira Road East,2,1,1,0,0,0,1,1,68.0
